,Senator Name,Decision,Bill
716,Cochran (R-MS),1,7
717,Collins (R-ME),0,7
718,Coons (D-DE),0,7
719,Corker (R-TN),1,7
720,Cornyn (R-TX),1,7
721,Cortez Masto (D-NV),0,7
722,Cotton (R-AR),1,7
723,Crapo (R-ID),1,7
724,Cruz (R-TX),1,7
725,Daines (R-MT),1,7
726,Donnelly (D-IN),0,7
727,Duckworth (D-IL),0,7
728,Durbin (D-IL),0,7
729,Enzi (R-WY),1,7
730,Ernst (R-IA),1,7
731,Feinstein (D-CA),2,7
732,Fischer (R-NE),1,7
733,Flake (R-AZ),1,7
734,Franken (D-MN),0,7
735,Gardner (R-CO),1,7
736,Gillibrand (D-NY),0,7
737,Graham (R-SC),1,7
738,Grassley (R-IA),1,7
739,Harris (D-CA),0,7
740,Hassan (D-NH),0,7
741,Hatch (R-UT),1,7
742,Heinrich (D-NM),0,7
743,Heitkamp (D-ND),0,7
744,Heller (R-NV),0,7
745,Hirono (D-HI),0,7
746,Hoeven (R-ND),1,7
747,Inhofe (R-OK),1,7
748,Isakson (R-GA),1,7
749,Johnson (R-WI),1,7
750,Kaine (D-VA),0,7
751,Kennedy (R-LA),1,7
752,King (I-ME),0,7
753,Klobuchar (D-MN),0,7
754,Lankford (R-OK),1,7
755,Leahy (D-VT),0,7
756,Lee (R-UT),1,7
757,Manchin (D-WV),0,7
758,Markey (D-MA),0,7
759,McCain (R-AZ),1,7
760,McCaskill (D-MO),0,7
761,McConnell (R-KY),1,7
762,Menendez (D-NJ),0,7
763,Merkley (D-OR),0,7
764,Moran (R-KS),1,7
765,Murkowski (R-AK),1,7
766,Murphy (D-CT),0,7
767,Murray (D-WA),0,7
768,Nelson (D-FL),0,7
769,Paul (R-KY),1,7
770,Perdue (R-GA),1,7
771,Peters (D-MI),0,7
772,Portman (R-OH),1,7
773,Reed (D-RI),0,7
774,Risch (R-ID),1,7
775,Roberts (R-KS),1,7
776,Rounds (R-SD),1,7
777,Rubio (R-FL),1,7
778,Sanders (I-VT),0,7
779,Sasse (R-NE),1,7
780,Schatz (D-HI),0,7
781,Schumer (D-NY),0,7
782,Scott (R-SC),1,7
783,Sessions (R-AL),2,7
784,Shaheen (D-NH),0,7
785,Shelby (R-AL),1,7
786,Stabenow (D-MI),0,7
787,Sullivan (R-AK),1,7
788,Tester (D-MT),0,7
789,Thune (R-SD),1,7
790,Tillis (R-NC),1,7
791,Toomey (R-PA),1,7
792,Udall (D-NM),0,7
793,Van Hollen (D-MD),0,7
794,Warner (D-VA),0,7
795,Warren (D-MA),0,7
796,Whitehouse (D-RI),0,7
797,Wicker (R-MS),1,7
798,Wyden (D-OR),0,7
799,Young (R-IN),1,7
800,Alexander (R-TN),1,8
801,Baldwin (D-WI),0,8
802,Barrasso (R-WY),1,8
803,Bennet (D-CO),0,8
804,Blumenthal (D-CT),0,8
805,Blunt (R-MO),1,8
806,Booker (D-NJ),0,8
807,Boozman (R-AR),1,8
808,Brown (D-OH),0,8
809,Burr (R-NC),1,8
810,Cantwell (D-WA),0,8
811,Capito (R-WV),1,8
812,Cardin (D-MD),0,8
813,Carper (D-DE),0,8
814,Casey (D-PA),0,8
815,Cassidy (R-LA),1,8
816,Cochran (R-MS),1,8
817,Collins (R-ME),0,8
818,Coons (D-DE),0,8
819,Corker (R-TN),1,8
820,Cornyn (R-TX),1,8
821,Cortez Masto (D-NV),0,8
822,Cotton (R-AR),1,8
823,Crapo (R-ID),1,8
824,Cruz (R-TX),1,8
825,Daines (R-MT),1,8
826,Donnelly (D-IN),0,8
827,Duckworth (D-IL),0,8
828,Durbin (D-IL),0,8
829,Enzi (R-WY),1,8
830,Ernst (R-IA),1,8
831,Feinstein (D-CA),0,8
832,Fischer (R-NE),1,8
833,Flake (R-AZ),1,8
834,Franken (D-MN),0,8
835,Gardner (R-CO),1,8
836,Gillibrand (D-NY),0,8
837,Graham (R-SC),1,8
838,Grassley (R-IA),1,8
839,Harris (D-CA),0,8
840,Hassan (D-NH),0,8
841,Hatch (R-UT),1,8
842,Heinrich (D-NM),0,8
843,Heitkamp (D-ND),0,8
844,Heller (R-NV),1,8
845,Hirono (D-HI),0,8
